coin_id,symbol,name,average_return,average_volatility,average_volume,average_market_cap,average_volume_to_market_cap,latest_price,latest_market_cap,latest_volume,latest_market_cap_rank,return_30d,return_90d,KMeans_Cluster,Hierarchical_Cluster,Segment_Name
binancecoin,bnb,BNB,-0.0007464628738017608,0.02859565105284642,1670703051.0688105,108194393399.00287,0.014526760005211947,566.6703395950424,76373009729.54695,490659833.5665891,4,-0.08051529496187593,-0.09013578292427446,1,0,Large Cap Stable Segment
bitcoin,btc,Bitcoin,-0.0016933518888363167,0.02315440312643486,47097339883.23213,1726996901422.8982,0.02769732397445362,62242.25280265039,1248098639644.4312,30583681981.80739,1,-0.052825739468890125,-0.1682568971555428,1,0,Large Cap Stable Segment
ethereum,eth,Ethereum,-0.0022465552043762823,0.03460548806633289,24481805443.061512,345117340555.2015,0.07137249556303996,1773.6822568982184,214012049361.95892,10331003303.593884,2,0.02844100874866162,-0.2483388876405283,1,0,High Volatility Growth Segment
figure-heloc,figr_heloc,Figure Heloc,0.011306907384367383,0.22087103830225982,77603244.12956126,16081388548.736897,0.004801002621128443,1.0325153,20486672539.14012,15018390.238994649,9,0.014506092203039295,-0.0008226518906091453,0,1,High Volatility Growth Segment
hyperliquid,hype,Hyperliquid,0.002318837498354966,0.051139279810172744,480528211.2549563,10457437077.478476,0.04505865158545255,63.49595109053437,14123286795.789097,431100130.52617306,10,-0.007226009145148005,0.4225068879759694,0,1,High Volatility Risk Segment
ripple,xrp,XRP,-0.002777289695807754,0.033564230542880595,3510061042.0694685,114190514168.07954,0.03003686499359168,1.0649579477906703,66523863168.77464,1126118075.42177,6,-0.10153580566095985,-0.23489902797713344,1,0,High Volatility Risk Segment
solana,sol,Solana,-0.002129583258306493,0.037078176593712674,5078626339.2805805,70939991516.76036,0.07195420732308169,74.78979049671841,43548029984.7376,1782572315.867428,7,0.05200977442520258,-0.11949047251242079,1,0,High Volatility Growth Segment
tether,usdt,Tether,-2.7651574135534143e-06,0.0002498028374502441,81923633146.58186,182945911318.09866,0.4502510199694484,0.9987935479922144,184079432268.1723,46124181980.30512,3,-0.0005881237500539721,-0.0013645092713302014,1,0,Large Cap Stable Segment
tron,trx,TRON,-0.00014553620510483314,0.014496594909387003,660297844.1100292,29717977026.812508,0.022287145559531922,0.3239681682987259,30733334218.769066,420964450.55004185,8,0.012222991419392064,-0.009887741718746068,0,0,Moderate Market Segment
usd-coin,usdc,USDC,3.378786795146768e-07,0.00018992618558716175,11142610399.773767,75243389534.92487,0.14863173790902914,0.9998973763217884,73008291614.31462,12789104506.061563,5,0.00015961211652860705,-5.4597801775225414e-05,1,0,Large Cap Stable Segment
