Feature,Importance
daily_return,0.18634584705300825
price_vs_ma_7,0.1559028170418085
price_vs_ma_14,0.15576343663438416
market_cap_change,0.13502518096759067
price_vs_ma_30,0.1233410187011552
volatility_7,0.054599593509871744
market_cap,0.05347862853635802
previous_day_return,0.02039254297656909
volatility_14,0.0179104881412338
volume,0.017304987888412532
volume_to_market_cap,0.01576538964952364
volume_change,0.01486745528826452
ma_14,0.011163947320518619
price,0.009719410653449553
volatility_30,0.009256202295725265
previous_day_volume,0.006784721654012478
ma_30,0.004551732830082558
ma_7,0.004126034381960297
previous_day_price,0.0025942095222060975
market_cap_rank,0.00041048045681995834
coin_solana,0.00028063716401172567
coin_ethereum,0.0001442263177778134
coin_ripple,9.644594848874428e-05
coin_hyperliquid,8.823905858382844e-05
coin_binancecoin,8.190258609324164e-05
coin_bitcoin,4.423422089658564e-06
coin_figure-heloc,0.0
coin_tether,0.0
coin_tron,0.0
coin_usd-coin,0.0
