id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,63784.0,1278907088020,1,1278907088020,28338306339,64060.0,61849.0,1273.64,2.03748,24999807508.0,1.99375,20056250.0,20056250.0,21000000.0,126080.0,-49.40966,2025-10-06T18:57:42.558Z,67.81,93964.56137,2013-07-06T00:00:00.000Z,,2026-07-14T14:27:42.621Z,2.0374760557733347,-0.7833285189220085,1.2447345007155324
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1864.09,224912790860,2,224912790860,11790046087,1876.7,1753.21,93.49,5.28035,11197960062.0,5.23967,120682986.1129002,120682986.1129002,,4946.05,-62.31141,2025-08-24T19:21:03.333Z,0.432979,430428.10325,2015-10-20T00:00:00.000Z,"{'times': 38.07960712758232, 'currency': 'btc', 'percentage': 3807.960712758232}",2026-07-14T14:27:41.474Z,5.280353622102253,11.896104028016172,4.7167111884227735
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.998938,184184227020,3,189566201511,45169439018,0.999183,0.998639,-0.000154007526144695,-0.01541,52884940.0,0.02872,184379930696.1507,189767623766.9662,,1.32,-24.50036,2018-07-24T00:00:00.000Z,0.572521,74.47957,2015-03-02T00:00:00.000Z,,2026-07-14T14:27:29.191Z,-0.015414754049032694,-0.053651455569064796,-0.009966578728734073
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,578.69,77982033440,4,77982033440,562206875,580.76,562.25,10.91,1.92184,1445271009.0,1.88834,134781990.18,134781990.18,200000000.0,1369.99,-57.75993,2025-10-13T08:41:24.131Z,0.0398177,1453237.3085,2017-10-19T00:00:00.000Z,,2026-07-14T14:27:41.248Z,1.9218383605676732,-5.2999234720766735,0.26224494498773604
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999775,73032657786,5,73032657786,13184030849,1.0,0.999744,-1.6970787168336e-05,-0.0017,-257408405.1011963,-0.35122,73048503025.18597,73048503025.18597,,1.043,-4.18459,2018-11-15T00:00:00.000Z,0.877647,13.91827,2023-03-11T08:02:13.981Z,,2026-07-14T14:27:37.042Z,-0.0016974322085312043,-0.003350393327221455,-0.019433430575082036
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.097,68527575569,6,109687161500,1098061555,1.1,1.056,0.02294514,2.13641,1438973740.0,2.14489,62466503703.0,99985639695.0,100000000000.0,3.65,-69.91675,2025-07-18T03:40:53.808Z,0.00268621,40736.35486,2014-05-22T00:00:00.000Z,,2026-07-14T14:27:32.522Z,2.136411588104892,-3.2366552761789515,-2.5971710096255487
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,76.85,44758691574,7,48433608805,1855277332,77.38,74.2,0.989489,1.30433,589980062.0,1.33574,582410524.2750393,630229403.5943348,,293.31,-73.79884,2025-01-19T11:15:27.957Z,0.500801,15245.63868,2020-05-11T19:35:23.449Z,,2026-07-14T14:27:32.679Z,1.304334251921848,13.583374867820988,-4.858947501131416
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.325027,30834042375,8,30834054776,396111281,0.326296,0.323648,-0.000807165064078796,-0.24772,-71794767.61776352,-0.2323,94866901343.5271,94866939498.3041,,0.431288,-24.63806,2024-12-04T00:10:40.323Z,0.00180434,17913.62244,2017-11-12T00:00:00.000Z,"{'times': 170.06699454750827, 'currency': 'usd', 'percentage': 17006.699454750826}",2026-07-14T14:27:43.922Z,-0.24772244077477973,2.246486571622399,-1.7226525984499839
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.033,20565863745,9,20565863745,14911493,1.033,1.003,0.019481,1.9227,462194043.0,2.29905,19914785674.438,19914785674.438,,1.049,-1.56564,2026-03-09T17:00:25.937Z,0.155357,564.72438,2025-10-31T14:27:24.456Z,,2026-07-14T14:27:37.968Z,1.9226969434438395,1.4680889258155934,-0.21106845979354244
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,64.67,14398590344,10,61835649867,344797619,65.19,62.63,0.423206,0.65867,168887002.0,1.18686,222445714.0741414,955307079.4341414,1000000000.0,76.7,-15.68152,2026-06-16T13:02:04.375Z,3.81,1598.06446,2024-11-29T09:30:30.871Z,,2026-07-14T14:27:32.967Z,0.6586692969890641,5.861014571412154,-10.408178390946816
